Latitude: 26.71308662, Longitude: 88.42991614
Latitude: 26.71326901, Longitude: 88.43042538
Latitude: 26.7128162, Longitude: 88.43228304
Latitude: 26.71303567, Longitude: 88.43308423
Latitude: 26.71308667, Longitude: 88.43348953
Latitude: 26.71315618, Longitude: 88.43417498
Latitude: 26.71286202, Longitude: 88.43146638
Latitude: 26.71296684, Longitude: 88.43166243
Latitude: 26.71313437, Longitude: 88.43075772
Latitude: 26.71377815, Longitude: 88.43044554
Latitude: 26.71341039, Longitude: 88.43216401
Latitude: 26.71343435, Longitude: 88.43265217
Latitude: 26.71344872, Longitude: 88.43299381
Latitude: 26.71348814, Longitude: 88.43343076
Latitude: 26.71341529, Longitude: 88.43162602
Latitude: 26.71319115, Longitude: 88.43141338
Latitude: 26.71354734, Longitude: 88.43111605
Latitude: 26.71360966, Longitude: 88.4293423
Latitude: 26.71365039, Longitude: 88.42916393
Latitude: 26.71398569, Longitude: 88.43028687
Latitude: 26.71411749, Longitude: 88.4305311
Latitude: 26.71414063, Longitude: 88.43086657
Latitude: 26.71401503, Longitude: 88.43119211
Latitude: 26.71401667, Longitude: 88.43152101
Latitude: 26.71402149, Longitude: 88.43189183
Latitude: 26.71412959, Longitude: 88.42884129
Latitude: 26.71403793, Longitude: 88.42782002
Latitude: 26.71425178, Longitude: 88.42721993
Latitude: 26.71434844, Longitude: 88.42696986
Latitude: 26.71472136, Longitude: 88.4265062
Latitude: 26.71453923, Longitude: 88.42856913
Latitude: 26.71490919, Longitude: 88.4282259
Latitude: 26.71444492, Longitude: 88.42896275
Latitude: 26.7075829, Longitude: 88.43245685
Latitude: 26.70768068, Longitude: 88.43267295
Latitude: 26.70785735, Longitude: 88.43307399
Latitude: 26.70812323, Longitude: 88.4333285
Latitude: 26.70827523, Longitude: 88.43387978
Latitude: 26.70771569, Longitude: 88.43324263
Latitude: 26.70734524, Longitude: 88.43304511
Latitude: 26.70743958, Longitude: 88.43272091
Latitude: 26.70738376, Longitude: 88.43193319
Latitude: 26.70790591, Longitude: 88.43171306
Latitude: 26.70802252, Longitude: 88.43208311
Latitude: 26.70807094, Longitude: 88.43227397
Latitude: 26.70816213, Longitude: 88.43255481
Latitude: 26.70842552, Longitude: 88.43274631
Latitude: 26.70729553, Longitude: 88.43218656
Latitude: 26.70806032, Longitude: 88.43119744
Latitude: 26.70946633, Longitude: 88.42850514
Latitude: 26.70955468, Longitude: 88.42870195
Latitude: 26.71028661, Longitude: 88.4282003
Latitude: 26.70844498, Longitude: 88.42981462
Latitude: 26.70891015, Longitude: 88.4301329
Latitude: 26.70891252, Longitude: 88.43101751
Latitude: 26.70888555, Longitude: 88.43139798
Latitude: 26.70835332, Longitude: 88.43107351
Latitude: 26.70702896, Longitude: 88.43515735
Latitude: 26.70684087, Longitude: 88.43516807
